source,target,tgt_lng
Sea-themed Top,海洋上衣,zh-CN
Pipe,水管,zh-CN
Flaming Top,燃烧上衣,zh-CN
Nipplebra,露乳文胸,zh-CN
Dissolved Cloth,溶解布衣,zh-CN
Assasin’s Dagger,刺客匕首,zh-CN
Sport Shorts,运动短裤,zh-CN
Scout Panties,侦察兵内裤,zh-CN
Starfish Panties,海星内裤,zh-CN
Dress To Rugs,破布礼服,zh-CN
Katana,武士刀,zh-CN
Amorous Bow,爱欲之弓,zh-CN
MP3,MP3,zh-CN
Regular Top,普通上衣,zh-CN
Hunting Dagger,猎刀,zh-CN
Sweatshirt,运动衫,zh-CN
Sweatpants,运动裤,zh-CN
League Pants,联盟长裤,zh-CN
MP5,MP5,zh-CN
MP6,MP6,zh-CN
Boomhammer,爆锤,zh-CN
Perfect Brooch,完美胸针,zh-CN
Wrench,扳手,zh-CN
Short Jeans,短牛仔裤,zh-CN
Elaine's Charm,伊莱恩的魅力,zh-CN
Explorer Skirt,探险者短裙,zh-CN
Golf,高尔夫球杆,zh-CN
Giant Wrench,巨型扳手,zh-CN
Quality Duck,优质鸭,zh-CN
Heavy Wrench,重型扳手,zh-CN
Ashley's Bottom,艾希莉的下装,zh-CN
League Top (vest),联盟上衣（背心款）,zh-CN
Eleanor Set,埃莉诺套装,zh-CN
Explorer Top,探险者上衣,zh-CN
Roman Top,罗马上衣,zh-CN
Improved Shotgun,改良霰弹枪,zh-CN
Sensual Clips,性感夹子,zh-CN
Tied Shirt,系带衬衫,zh-CN
Shotgun,霰弹枪,zh-CN
Deepcut Skirt,深切短裙,zh-CN
Deepcut Top,深切上衣,zh-CN
Splathammer,溅射锤,zh-CN
Tazer,电击枪,zh-CN
Line Mini,线条迷你裙,zh-CN
Fearless Warrior Suit,无畏勇者套装,zh-CN
Field Medic Suit,战地医疗套装,zh-CN
Roman Skirt,罗马裙,zh-CN
Flamethrower,火焰喷射器,zh-CN
Foxy’s Set,福克希的套装,zh-CN
League Shorts,联盟短裤,zh-CN
Fringed Pants,流苏长裤,zh-CN
Plain Panties,朴素内裤,zh-CN
Specialized SMG,特制冲锋枪,zh-CN
Spicy Lipstick,火辣唇膏,zh-CN
Small Harpoon Gun,小鱼叉枪,zh-CN
Combat Shotgun,战斗霰弹枪,zh-CN
Stocked MP4,有托MP4,zh-CN
Harpoon Gun,鱼叉枪,zh-CN
XX's Last Resort,XX的最后手段,zh-CN
Garterbelt,吊袜带,zh-CN
SMG,冲锋枪,zh-CN
Emily’s Boss,艾米莉的老大装,zh-CN
Blaster,爆能枪,zh-CN
Leather Jacket,皮夹克,zh-CN
Civilian Pistol,民用手枪,zh-CN
Fringed Top,流苏上衣,zh-CN
Precision Laser Pistol,精准激光手枪,zh-CN
Lace-up Top,系带上衣,zh-CN
Bound Pants,束缚长裤,zh-CN
Pistol,手枪,zh-CN
Gunslinger Top,枪侠上衣,zh-CN
Gunslinger Pants,枪侠长裤,zh-CN
Frozen’s Attire,弗罗赞的装束,zh-CN
Energy Pistol,能量手枪,zh-CN
Machete,砍刀,zh-CN
Small Pistol,小手枪,zh-CN
Gaia’s Sets,盖亚的套装,zh-CN
Military Pistol,军用手枪,zh-CN
Harbringers Of Pain,痛苦先驱,zh-CN
Infiltrator Suit,渗透者套装,zh-CN
Merc Top,佣兵上衣,zh-CN
Jasmine's Nights,茉莉的诱惑,zh-CN
Jealousy Bringer,嫉妒使者,zh-CN
Stripped Vest,条纹背心,zh-CN
JNT Set,JNT套装,zh-CN
Butcher’s Chopper,屠夫的斩肉刀,zh-CN
Reinforced Pipe,加固水管,zh-CN
Spiked Club,狼牙棒,zh-CN
Heavy Pipe,重型水管,zh-CN
Large Tazer,大型电击枪,zh-CN
Liza's Abdomen,丽莎的裹腹,zh-CN
Chopper,斩肉刀,zh-CN
Killer Dress,杀手礼服,zh-CN
Kim’s Swimsuit,金的泳装,zh-CN
Leader Set,领袖套装,zh-CN
Space Top,太空上衣,zh-CN
Sports Bra,运动文胸,zh-CN
Sharp Machete,锋利砍刀,zh-CN
Liberator Suit,解放者套装,zh-CN
Gaia’s Top,盖亚的上衣,zh-CN
Postapo Shorts,后末日短裤,zh-CN
Liza’s Chitina,丽莎的甲壳装,zh-CN
Scorcher,灼烧者,zh-CN
League Top (bra),联盟上衣（文胸款）,zh-CN
Sugar Bomb,糖衣炸弹,zh-CN
Tacky Dildo,俗气假阳具,zh-CN
Lace Jeans,蕾丝牛仔裤,zh-CN
Momoka’s Sets,桃香的套装,zh-CN
Teddy,泰迪玩具,zh-CN
Armless Shirt,无袖衬衫,zh-CN
Rain Dance,雨之舞,zh-CN
Raincoat,雨衣,zh-CN
Merc Pants,佣兵长裤,zh-CN
Opalescent Set,欧泊石套装,zh-CN
Postapo Suit,后末日套装,zh-CN
Power Set,力量套装,zh-CN
Raven Hide,渡鸦皮,zh-CN
Thermos,保温瓶,zh-CN
Work Jeans,工装牛仔裤,zh-CN
Reznor's Decision,雷兹诺的决定,zh-CN
Sexting Uniform,色诱制服,zh-CN
Vibro Egg,跳蛋,zh-CN
Possible Top,可能上衣,zh-CN
Possible Pants,可能长裤,zh-CN
XX’s Tacky Dildo,XX的俗气假阳具,zh-CN
Sisterhood Dress,姐妹会礼服,zh-CN
Skalds Poem,吟游诗人之诗,zh-CN
Stella's Sunshine,斯特拉的阳光,zh-CN
Suitmission,套装使命,zh-CN
Sybil's Rebellion,西比尔的反叛,zh-CN
Unknown’s Favor,未知者的青睐,zh-CN
Wire Swimsuit,钢丝泳衣,zh-CN
XX’s Sol Uniform,XX的太阳制服,zh-CN
